Apple,50,2024-12-18 21:34:07
Banana,75,2024-12-18 21:34:07
Orange,60,2024-12-18 21:34:07
Milk,20,2024-12-18 21:34:07
Bread,30,2024-12-18 21:34:07
Eggs,25,2024-12-18 21:34:07
Chicken Breast,15,2024-12-18 21:34:07
Rice,35,2024-12-18 21:34:07
Pasta,40,2024-12-18 21:34:07
Tomato,55,2024-12-18 21:34:07
Potato,65,2024-12-18 21:34:07
Carrot,70,2024-12-18 21:34:07
Broccoli,20,2024-12-18 21:34:07
Cheese,10,2024-12-18 21:34:07
Butter,15,2024-12-18 21:34:07
Yogurt,50,2024-12-18 21:34:07
Cereal,35,2024-12-18 21:34:07
Juice,25,2024-12-18 21:34:07
Coffee,20,2024-12-18 21:34:07
Tea,30,2024-12-18 21:34:07
Chicken Breast,10,2024-12-18 21:44:06
Apple,50,2024-12-18 21:50:24
Banana,75,2024-12-18 21:50:24
Orange,60,2024-12-18 21:50:24
Milk,20,2024-12-18 21:50:24
Bread,30,2024-12-18 21:50:24
Eggs,25,2024-12-18 21:50:24
Chicken Breast,15,2024-12-18 21:50:24
Rice,35,2024-12-18 21:50:24
Pasta,40,2024-12-18 21:50:24
Tomato,55,2024-12-18 21:50:24
Potato,65,2024-12-18 21:50:24
Carrot,70,2024-12-18 21:50:24
Broccoli,20,2024-12-18 21:50:24
Cheese,10,2024-12-18 21:50:24
Butter,15,2024-12-18 21:50:24
Yogurt,50,2024-12-18 21:50:24
Cereal,35,2024-12-18 21:50:24
Juice,25,2024-12-18 21:50:24
Coffee,20,2024-12-18 21:50:24
Tea,30,2024-12-18 21:50:24
